"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"1";"10uF/6.3V";"10UF_CER_SMD-0402_6.3V-20%";"CAPC1005X55_SMD-0402";"C2";"";"https://www.murata.com/~/media/webrenewal/support/library/catalog/products/capacitor/mlcc/c02e.ashx";"Digikey";"https://www.digikey.com/products/en?keywords=490-13233-1-ND";"490-13233-1-ND";"Murata Electronics North America";"GRM155C80J106ME11D";"10uF/6.3V";
"2";"1x05 MALE VERT";"1X05_PTH_VERT_MALE_2.54MM";"HDRV5W64P254_1X5_1270X254X838B";"J1, J2";"";"https://s3.amazonaws.com/catalogspreads-pdf/PAGE112-113%20.100%20MALE%20HDR.pdf";"Digikey";"https://www.digikey.com/en/products/detail/sullins-connector-solutions/PEC05SAAN/859158?s=N4IgTCBcDaIMoEYAMCwFEC0SCsGByAIiALoC%2BQA";"S1012E-05-ND";"Sullins Connector Solutions";"PEC05SAAN";"1x05 MALE VERT";
"1";"4.7uF/10V";"4.7UF_CER_SMD-0402_10V-20%";"CAPC1005X55_SMD-0402";"C1";"";"http://www.samsungsem.com/kr/support/product-search/mlcc/CL05A475MP5NRNC.jsp";"Digikey";"https://www.digikey.com/products/en?keywords=1276-1482-1-ND";"1276-1482-1-ND";"Samsung Electro-Mechanics";"CL05A475MP5NRNC";"4.7uF/10V";
"1";"MAX30105EFD+T";"MAX30105EFD+T";"SON80P330X560X165-14N";"U1";"";"https://datasheets.maximintegrated.com/en/ds/MAX30105.pdf";"Digikey";"https://www.digikey.com/en/products/detail/maxim-integrated/MAX30105EFD-T/6188726?s=N4IgTCBcDaILIEEAaBmADARjQVgKIDEARAagBUBhUgWgDlCQBdAXyA";"MAX30105EFD+TCT-ND";"Maxim Integrated";"MAX30105EFD+T";"MAX30105EFD+T";
